C,S,Chiral_Centers,Mol_Weight,Formula
C00001,,0,18.0153,H2O
C00002,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,4,507.181,C10H16N5O13P3
C00003,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,8,664.433,C21H28N7O14P2
C00004,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,8,665.441,C21H29N7O14P2
C00005,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,8,745.4209,C21H30N7O17P3
C00006,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,8,744.4129,C21H29N7O17P3
C00007,,0,31.9988,O2
C00008,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,4,427.2011,C10H15N5O10P2
C00009,O=P(O)(O)O,0,97.9952,H3PO4
C00010,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,5,767.5341,C21H36N7O16P3S
C00011,O=C=O,0,44.0095,CO2
C00012,*C(N)C(=O)NC(*)C(=O)O,0,0.0,C2H4NO2R(C2H2NOR)n
C00013,O=P(O)(O)OP(=O)(O)O,0,177.9751,H4P2O7
C00014,N,0,17.0305,NH3
C00015,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,4,404.1612,C9H14N2O12P2
C00016,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,7,785.5497,C27H33N9O15P2
C00017,*[C@H](N)C(=O)N[C@@H](*)C(=O)O,2,0.0,C2H4NO2R(C2H2NOR)n
C00018,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,0,247.1419,C8H10NO6P
C00019,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,5,398.4374,C15H22N6O5S
C00020,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,4,347.2212,C10H14N5O7P
C00021,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,5,384.4108,C14H20N6O5S
C00022,CC(=O)C(=O)O,0,88.0621,C3H4O3
C00023,[Fe],0,55.845,Fe
C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,5,809.5708,C23H38N7O17P3S
C00025,N[C@@H](CCC(=O)O)C(=O)O,1,147.1293,C5H9NO4
C00026,O=C(O)CCC(=O)C(=O)O,0,146.0981,C5H6O5
C00027,OO,0,34.0147,H2O2
C00029,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,9,566.3018,C15H24N2O17P2
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,4,180.1559,C6H12O6
C00032,C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2,0,616.4873,C34H32FeN4O4
C00033,CC(=O)O,0,60.052,C2H4O2
C00034,[Mn],0,54.938,Mn
C00035,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,4,443.2005,C10H15N5O11P2
C00036,O=C(O)CC(=O)C(=O)O,0,132.0716,C4H4O5
C00037,NCC(=O)O,0,75.0666,C2H5NO2
C00038,[Zn+2],0,65.409,Zn
C00039,*[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2CO)O1,9,0.0,C10H17O8PR2(C5H8O5PR)n
C00040,*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,5,0.0,C22H35N7O17P3SR
C00041,C[C@H](N)C(=O)O,1,89.0932,C3H7NO2
C00042,O=C(O)CCC(=O)O,0,118.088,C4H6O4
C00043,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,9,607.3537,C17H27N3O17P2
C00044,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,4,523.1804,C10H16N5O14P3
C00045,*C(N)C(=O)O,0,0.0,C2H4NO2R
C00046,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O,12,0.0,C10H18O13P2R2(C5H8O6PR)n
C00047,NCCCC[C@H](N)C(=O)O,1,146.1876,C6H14N2O2
C00048,O=CC(=O)O,0,74.0355,C2H2O3
C00049,N[C@@H](CC(=O)O)C(=O)O,1,133.1027,C4H7NO4
